ID	Block	Trials	Practice	VideoStart	ITI	ITI_measured	Color	Conflict	Global	Local	Task	Video_pos	Video_dist	Video_present	Video_cat_cond	Video_cat	Video	VideoPlayed	VideoCheck	RT	DT	Visits	KeyPress	KeyColor	Correct	Reward	RewardCond
400	1	1	1	none	0.5	0.804741	yellow	1	down	down	GLO	right	far	0	intact	none	none	0	0	0.622557	0	1	left	yellow	1	0	0
400	1	2	1	none	0.5	0.516908	green	0	right	right	GLO	right	close	0	intact	none	none	0	0	3.29919	0	1	right	green	1	0	0
400	1	3	1	none	0.5	0.516878	red	1	right	right	GLO	right	far	0	intact	none	none	0	0	1.42852	0	1	down	red	1	0	0
400	1	4	1	none	0.5	0.517089	green	1	up	up	GLO	left	close	0	intact	none	none	0	0	0.963654	0	1	left	yellow	0	0	0
400	1	5	1	none	0.5	0.516659	green	0	right	right	GLO	left	far	0	intact	none	none	0	0	0.693836	0	1	right	green	1	0	0
400	1	6	1	none	0.5	0.516355	yellow	1	right	right	GLO	left	far	0	intact	none	none	0	0	0.483811	0	1	left	yellow	1	0	0
400	1	7	1	none	0.5	0.515934	blue	1	down	down	GLO	left	close	0	intact	none	none	0	0	1.15083	0	1	up	blue	1	0	0
400	1	8	1	none	0.5	0.516035	green	1	left	left	GLO	left	close	0	intact	none	none	0	0	0.915467	0	1	right	green	1	0	0
400	1	9	1	none	0.5	0.515914	yellow	1	down	down	GLO	right	close	0	intact	none	none	0	0	0.973964	0	1	left	yellow	1	0	0
400	1	10	1	none	0.5	0.516201	blue	0	up	up	GLO	left	far	0	intact	none	none	0	0	0.828022	0	1	up	blue	1	0	0
400	1	11	1	none	0.5	0.515852	yellow	0	left	left	GLO	right	close	0	intact	none	none	0	0	1.5348	0	1	left	yellow	1	0	0
400	1	12	1	none	0.5	0.515856	yellow	1	up	up	GLO	left	close	0	intact	none	none	0	0	0.683482	0	1	left	yellow	1	0	0
400	1	13	1	none	0.5	0.516344	green	1	left	left	GLO	right	close	0	intact	none	none	0	0	0.800374	0	1	right	green	1	0	0
400	1	14	1	none	0.5	0.516439	yellow	0	left	left	GLO	right	far	0	intact	none	none	0	0	0.631353	0	1	left	yellow	1	0	0
400	1	15	1	none	0.5	0.516494	red	0	down	down	GLO	right	far	0	intact	none	none	0	0	0.98388	0	1	down	red	1	0	0
400	1	16	1	none	0.5	0.516156	red	1	right	right	GLO	left	close	0	intact	none	none	0	0	0.595323	0	1	down	red	1	0	0
400	1	17	1	none	0.5	0.51716	red	1	left	left	GLO	left	far	0	intact	none	none	0	0	0.616717	0	1	down	red	1	0	0
400	1	18	1	none	0.5	0.516177	red	0	down	down	GLO	right	close	0	intact	none	none	0	0	0.516369	0	1	down	red	1	0	0
400	1	19	1	none	0.5	0.517067	green	1	left	left	GLO	left	close	0	intact	none	none	0	0	0.968298	0	1	right	green	1	0	0
400	1	20	1	none	0.5	0.516868	green	1	left	left	GLO	left	far	0	intact	none	none	0	0	0.682485	0	1	right	green	1	0	0
